model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate,semantic_self_similarity_mean,semantic_self_similarity_std,n_semantic_pairs
gemma3:12b,q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1698058551603437,0.16981132075471697,0.03212794139381337,0.10619469026548672,0.21487603305785127,0.019901900959212113,0.021086794594402866,0.0036136448839104713,0.014778325123152709,0.02346041055718475,0.0072304888341753765,0.007826005814435828,0.0018496791183146273,0.0036867058447033006,0.009318984412074611,0.09171671860535238,0.09302526825891312,0.009809651750843649,0.07079646017699115,0.10810810810810811,0.8505886793136597,0.8507029414176941,0.005066059404222826,0.8401311039924622,0.8584311008453369,0.8695649623870849,0.8691110908985138,0.0015708591222209456,0.8681144714355469,0.872978925704956,0.8599650382995605,0.8593525290489197,0.002778549861102936,0.8550663590431213,0.8645372986793518,0.99,1.0,0.02108185106778922,0.95,1.0,10,10,10,522.0,1.0,1.0,1,0.1,0.9499028099907769,0.027562101907408473,45
gemma3:12b,q133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04675704597015744,0.04731017904509284,0.001950615411520351,0.041343669250646,0.04774535809018567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7552221298217774,0.7552920579910278,0.0011195469198327164,0.7544028162956238,0.7581497430801392,0.7826427280902862,0.7824456691741943,0.0012639926155718019,0.7820034027099609,0.7861853241920471,0.7686879217624665,0.7686291337013245,0.0011816518903090445,0.7679551243782043,0.7719130516052246,0.1,0.0,0.31622776601683794,0.0,1.0,10,3,3,374.9,0.3,0.3,5,0.5,0.9924352433946397,0.013306695767006774,45
gemma3:12b,q134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3215270785659802,0.3239130434782609,0.027893077725473343,0.28947368421052627,0.34782608695652173,0.168965813268053,0.1715315934065934,0.010084923240149085,0.15384615384615385,0.1778846153846154,0.1046257840174331,0.1061617941081697,0.010021716855149172,0.0917000838262266,0.11388142796198997,0.18074599542334097,0.17391304347826086,0.03277589352295207,0.15,0.24,0.8636747002601624,0.8658160865306854,0.005581061719239943,0.8559026718139648,0.8683546781539917,0.9164750337600708,0.9172619581222534,0.006405331473239537,0.9082614779472351,0.9224071502685547,0.8892874479293823,0.8898817598819733,0.005610408134382493,0.8831160664558411,0.8945651650428772,0.9857142857142858,1.0,0.02439750182371336,0.95,1.0,10,5,5,331.0,0.5,0.5,5,0.5,0.958480872048272,0.02646139184883245,45
gemma3:12b,q137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15293722537274773,0.15492957746478875,0.008270915138683917,0.12949640287769784,0.15714285714285714,0.04255069148389194,0.04274465691788527,0.0007555057260377686,0.04104903078677309,0.04323094425483504,0.012636496947605097,0.016132673522510122,0.005729795092458157,0.004248878097239752,0.016349267940007645,0.09771610221562037,0.09859154929577466,0.004029186374282785,0.08633093525179857,0.1,0.8437448441982269,0.8437799215316772,0.0005473681177347046,0.8423845767974854,0.8443270325660706,0.8663108348846436,0.8671464323997498,0.0016164433184175716,0.862860918045044,0.8674740195274353,0.8548785805702209,0.8553474545478821,0.001040682762902893,0.852499783039093,0.8557440638542175,0.7666666666666666,0.95,0.3175426480542941,0.4,0.95,10,6,6,548.4,0.6,0.6,3,0.3,0.9917527238527933,0.007520002913539489,45
gemma3:12b,q166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11603601944775921,0.12371134020618557,0.014761639394290028,0.07692307692307693,0.12631578947368421,0.2595609686385292,0.26463893630900337,0.03302144777250631,0.17453505007153075,0.28929068150208626,0.008397330518178162,0.008987052822035917,0.0009614160449596138,0.006169197040606362,0.009270196054984463,0.07799837193953177,0.08247422680412371,0.007988238471457186,0.057692307692307696,0.08421052631578947,0.8217450618743897,0.8220657110214233,0.0018892139896199214,0.8170062303543091,0.823631763458252,0.8247664630413055,0.8246750831604004,0.0025572451341286657,0.8194227814674377,0.828231692314148,0.8232496798038482,0.8238103687763214,0.0014259002811394912,0.8203094601631165,0.8249929547309875,0.9549999999999998,0.95,0.02838231060987733,0.9,1.0,10,9,9,511.7,0.9,0.9,2,0.2,0.9733533978462219,0.018111185826245036,45
gemma3:12b,q177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07890411349413373,0.075,0.01359984303869471,0.06976744186046512,0.11627906976744186,0.13191968990321112,0.13333333333333333,0.007257358622700683,0.12040133779264214,0.14429530201342283,0.006486211102219754,0.0063548059933432955,0.0006077131937530322,0.005821399139564006,0.007865875418572421,0.07425295070343606,0.075,0.0038709722457784235,0.06976744186046512,0.08108108108108109,0.833893209695816,0.834004133939743,0.003015896291326292,0.828657865524292,0.8374453186988831,0.8851599514484405,0.8863986730575562,0.004211010187106795,0.8757947087287903,0.8886846303939819,0.8587602257728577,0.859326034784317,0.0033608711976013143,0.8532136082649231,0.8622624278068542,0.765,0.9,0.28289181285038595,0.2,1.0,10,9,9,490.1,0.9,0.9,2,0.2,0.9477904690636529,0.02558775638592855,45
gemma3:12b,q212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16399890133993458,0.16418824839877472,0.013530019281493394,0.14285714285714285,0.1897810218978102,0.03867457432855933,0.03592814371257485,0.006406929042826844,0.033936651583710405,0.050697084917617236,0.006160206385782763,0.006935847292767424,0.0014264728206735517,0.004022785156277046,0.007180258968612072,0.11782633450892543,0.11940963519910888,0.010060474102886213,0.1,0.13138686131386862,0.8597740471363068,0.8600241541862488,0.0017837374002154839,0.8575711846351624,0.8619444370269775,0.8537980794906617,0.8530886173248291,0.0021057302232766356,0.851628303527832,0.8581369519233704,0.8567746162414551,0.8561082482337952,0.0016899974267624378,0.8553240299224854,0.8599689602851868,0.9349999999999999,1.0,0.1564360004034309,0.5,1.0,10,6,6,414.4,0.6,0.6,3,0.3,0.976299171977573,0.015066246716865444,45
gemma3:12b,q213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23550555063055087,0.2330097087378641,0.0068963692223386434,0.22857142857142856,0.25,0.24966407235817764,0.24875940156965337,0.004318582587138933,0.24444444444444444,0.25882352941176473,0.009995254686833658,0.010126528266541576,0.00039968316326874386,0.00891717333923273,0.010398441821381964,0.15638686442617275,0.1553398058252427,0.006197214703996684,0.1509433962264151,0.17307692307692307,0.8591788947582245,0.85943403840065,0.0018947767863116503,0.8540523052215576,0.8611819744110107,0.9184514462947846,0.918485164642334,0.0014267206520519422,0.9161164164543152,0.9199211597442627,0.8878261327743531,0.8882984519004822,0.0014280221386943402,0.884208619594574,0.8890845775604248,1.0,1.0,0.0,1.0,1.0,10,7,7,566.9,0.7,0.7,3,0.3,0.9875728434986538,0.006767435614573153,45
gemma3:12b,q236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052936902082385606,0.06191489361702128,0.0192907206874249,0.02040816326530612,0.06818181818181819,0.17233168108320063,0.17684547336721249,0.014135875886458453,0.14933333333333335,0.1908831908831909,0.004362743809028439,0.005051742081517069,0.0015290339446073465,0.0021298668832422764,0.00566295654113955,0.052936902082385606,0.06191489361702128,0.0192907206874249,0.02040816326530612,0.06818181818181819,0.8135748147964478,0.8148074746131897,0.00608731345621968,0.8052438497543335,0.8209864497184753,0.8613676726818085,0.8655999004840851,0.010456416210782781,0.8458633422851562,0.8703334331512451,0.8367810070514679,0.8400115072727203,0.007911133853742962,0.8255249857902527,0.844304621219635,0.975,1.0,0.03535533905932738,0.9,1.0,10,9,9,610.0,0.9,0.9,2,0.2,0.9482479532559712,0.020011284945888816,45
gemma3:12b,q245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2616275254577453,0.2542372881355932,0.020583330085785105,0.24561403508771928,0.3076923076923077,0.2729194715317177,0.2744365969625629,0.018641206677923572,0.2440318302387268,0.3050314465408805,0.010269727159137576,0.009501563301121164,0.0014281244473857866,0.00925538562319334,0.013308561809919003,0.1863865328225537,0.1864406779661017,0.006030414612794682,0.17543859649122806,0.1978021978021978,0.8330256760120391,0.8295026421546936,0.008210520844210204,0.8251262903213501,0.8484081625938416,0.8484143197536469,0.8482672572135925,0.0026543672029148992,0.8453050851821899,0.8521939516067505,0.84063880443573,0.8387217819690704,0.005277620757917291,0.8357304930686951,0.8491652011871338,0.97,1.0,0.04216370213557836,0.9,1.0,10,9,8,530.0,0.9,0.8,3,0.3,0.9510682649082608,0.022999409543871297,45
